STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,SEX,Sex,AGE,Age,ATTAINMENT_LEV,Educational attainment level,EDUCATION_FIELD,Field of education,MEASURE,Measure,INCOME,Income,BIRTH_PLACE,Place of birth,MIGRATION_AGE,Age at migration,EDU_STATUS,Education status,LABOUR_FORCE_STATUS,Labour force status,DURATION_UNEMP,Unemployment duration,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,WORK_TIME_ARNGMNT,Work time arrangement,QUESTIONNAIRE,Questionnaire name,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,OECD,OECD,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_E_O,In education and in other forms of employment,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,17.47632,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,NLD,Netherlands,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_E_O,In education and in other forms of employment,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,52.211163,,W,Includes data from another category,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,AUS,Australia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,5.978261,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,EST,Estonia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,22.555552,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,ESP,Spain,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,10.117762,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,ZAF,South Africa,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_E_O,In education and in other forms of employment,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2022,,0.76963538,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,BRA,Brazil,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,,,M,Missing value; data cannot exist,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CRI,Costa Rica,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,,,M,Missing value; data cannot exist,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,11.638925,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CHL,Chile,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2022,,19.810362,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,ISR,Israel,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,51.969734,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,ITA,Italy,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,52.98634,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,ITA,Italy,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,18.679588,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,MEX,Mexico,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,16.312809,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,PRT,Portugal,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,6.5789723,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,HRV,Croatia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_E_O,In education and in other forms of employment,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,4.3956046,,W,Includes data from another category,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,OECD,OECD,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,19.555157,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CHE,Switzerland,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,17.283396,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,HUN,Hungary,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_E_O,In education and in other forms of employment,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,2.8962967,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,USA,United States,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,42.379032,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,NLD,Netherlands,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,,,K,Data included in another category,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,TUR,Türkiye,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,,,M,Missing value; data cannot exist,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,OECD,OECD,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,13.56408,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CAN,Canada,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,24.319365,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,MEX,Mexico,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,,,M,Missing value; data cannot exist,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,POL,Poland,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,11.436696,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,DEU,Germany,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_E_O,In education and in other forms of employment,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,18.792908,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,HUN,Hungary,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,0.30258948,,A,Normal value,,,0,Units,1,One
